time,height
1.9059999,0.0
2.263,0.0
2.29,0.0
2.3260002,0.0
2.3509998,0.0
2.3930001,0.0
2.4169998,0.0
2.461,0.0
2.481,0.0
2.5089998,0.0
2.5440001,0.0
2.571,0.0
2.6030002,0.0
2.6360002,0.0
2.6669998,0.0
2.7059999,0.0
2.7280002,0.0
2.7600002,0.0
2.79,0.0
2.822,0.0
2.8530002,0.0
2.8850002,0.0
2.916,0.0
2.947,0.0
2.98,0.0
3.012,0.0
3.041,0.0
3.079,0.0
3.1079998,0.0
3.1399999,0.0
3.17,0.0
3.2020001,0.0
3.2340002,0.0
3.271,0.0
3.3000002,0.0
3.329,0.0
3.362,0.0
3.3930001,0.0
3.4250002,0.0
3.455,0.0
3.488,0.0
3.521,0.0
3.5549998,0.0
3.584,0.0
3.618,0.0
3.6469998,0.0
3.6799998,0.0
3.7129998,0.0
3.745,0.0
3.7740002,0.0
3.8049998,0.0
3.837,0.0
3.869,0.0
3.901,0.0
3.9320002,0.0
3.967,0.0
3.9980001,0.0
4.03,0.0
4.061,0.0
4.09,0.0
4.122,0.0
4.159,0.0
4.184,0.0
4.215,0.0
4.246,0.0
4.282,0.0
4.313,0.0
4.344,0.0
4.371,0.0
4.401,0.0
4.441,0.0
4.465,0.0
4.495,0.0
4.527,0.0
4.56,0.0
4.595,0.0
4.629,0.0
4.655,0.0
4.686,0.0
4.719,0.0
4.75,0.0
4.781,0.0
4.813,0.0
4.848,0.0
4.888,-1.1632967
4.914,-0.8226141
4.948,-0.26559597
4.975,0.4048326
5.006,0.99724096
5.038,1.3641881
5.067,1.372977
5.1,1.038516
5.129,0.46027124
5.161,-0.2318708
5.191,-0.79629046
5.222,-1.1471035
5.26,-1.1707251
5.294,-0.79711497
5.323,-0.39516562
5.351,0.13303939
5.382,0.5512954
5.421,0.7553722
5.45,0.6817125
5.474,0.40685868
5.505,0.042397976
5.549,-0.3213845
5.573,-0.43780354
5.602,-0.36135375
5.636,-0.09079921
5.667,0.26538137
5.697,0.55267084
5.728,0.6594596
5.759,0.5211715
5.791,0.13700885
5.823,-0.40031743
5.855,-0.8730175
5.89,-1.156707
5.923,-1.0847217
5.965,-0.69038534
5.983,-0.03744185
6.0360003,1.1757897
6.043,1.2948371
6.076,1.6124389
6.1049995,1.4940853
6.137,0.9591057
6.1709995,0.1006884
6.1990004,-0.7802681
6.229,-1.5254471
6.2650003,-1.9009039
6.295,-1.7429789
6.326,-1.139753
6.354,-0.20050085
6.385,0.8171118
6.4230003,1.7010535
6.453,2.0591512
6.4849997,1.8584676
6.517,1.1361308
6.5459995,0.15914127
6.5769997,-0.9247494
6.6120005,-1.7525852
