time,height
1.8599999,0.0
2.197,0.0
2.231,0.0
2.2680001,0.0
2.29,0.0
2.322,0.0
2.3590002,0.0
2.396,0.0
2.4229999,0.0
2.4520001,0.0
2.479,0.0
2.513,0.0
2.5430002,0.0
2.5760002,0.0
2.606,0.0
2.65,0.0
2.671,0.0
2.705,0.0
2.7340002,0.0
2.7729998,0.0
2.797,0.0
2.8330002,0.0
2.867,0.0
2.8979998,0.0
2.934,0.0
2.959,0.0
2.9889998,0.0
3.021,0.0
3.053,0.0
3.087,0.0
3.117,0.0
3.15,0.0
3.178,0.0
3.2210002,0.0
3.243,0.0
3.2729998,0.0
3.3130002,0.0
3.341,0.0
3.3779998,0.0
3.402,0.0
3.4369998,0.0
3.4640002,0.0
3.495,0.0
3.533,0.0
3.559,0.0
3.5900002,0.0
3.6209998,0.0
3.657,2.9699395
3.6929998,2.3439767
3.7189999,1.1103765
3.7480001,-0.2981292
3.7789998,-1.6060553
3.8119998,-2.5450697
3.843,-2.7941287
3.8779998,-2.3196578
3.913,-1.2730911
3.9390001,-0.1245532
3.9710002,1.0761694
4.003,1.9164884
4.034,2.210227
4.069,1.9474078
4.103,1.1788337
4.133,0.33203077
4.164,-0.55211747
4.196,-1.136611
4.226,-1.3767697
4.255,-1.2290854
4.287,-0.7914057
4.317,-0.25907612
4.355,0.2317173
4.388,0.4872981
4.412,0.5149589
4.443,0.34489417
4.476,0.071100235
4.507,-0.14082557
4.539,-0.20810544
4.572,-0.08542824
4.607,0.1808669
4.635,0.46195218
4.666,0.66660285
4.696,0.6690031
4.729,0.4265881
4.759,0.010891736
4.789,-0.5026721
4.821,-0.9544229
4.852,-1.2044871
4.884,-1.13609
4.915,-0.77518386
4.958,-0.09510863
4.981,0.5722815
5.011,1.1028692
5.042,1.3914925
5.073,1.3211691
5.111,0.85477805
5.142,0.24532086
5.172,-0.43709284
5.201,-0.953534
5.238,-1.2041639
5.269,-1.1058669
5.303,-0.73818696
5.334,-0.20432156
5.366,0.3295734
5.395,0.6652336
5.425,0.7549412
5.457,0.60252285
5.486,0.26897943
5.517,-0.08254045
5.548,-0.36034536
5.58,-0.437848
5.611,-0.30144322
5.644,0.0068097115
5.676,0.350596
5.706,0.6015029
5.736,0.6485988
5.767,0.44533503
5.797,0.045173645
5.829,-0.48390067
5.873,-0.97963864
5.906,-1.1706533
5.924,-1.0677814
5.979,-0.10739797
5.986,0.05707252
6.016,0.78879637
6.0480003,1.3702798
6.082,1.6239437
6.1260004,1.3929603
6.1450005,0.7911113
6.175,-0.047322452
6.21,-1.0502433
6.2390003,-1.6785578
6.2700005,-1.909136
6.307,-1.5863492
6.3360004,-0.83222455
6.3690004,0.19922724
6.399,1.20097
6.4350004,1.8990271
6.4630003,2.054109
6.4940004,1.6822891
6.578,-0.9869257
6.6099997,-1.7898736
6.642,-2.0940406
6.674,-1.8376231
6.705,-1.1112374
6.736,-0.11471644
6.767,0.8849797
6.8009996,1.6613292
6.8389997,1.9286726
6.8780003,1.6550195
6.898,0.9819309
6.9280005,0.11018059
6.96,-0.7425676
6.9919996,-1.305084
7.0299997,-1.4829531
7.0579996,-1.2416713
7.092,-0.6855929
7.1239996,-0.0674839
7.1610003,0.49205577
7.1809998,0.7347409
7.212,0.74781024
7.2419996,0.52795714
7.276,0.19205803
7.3079996,-0.08838254
7.3409996,-0.20824927
7.3669996,-0.118302554
7.401,0.1259184
7.4300003,0.4133106
7.462,0.5768748
7.4919996,0.51171803
7.5299997,0.1821068
