Group,Designator,Component,Number, Cost per unit ,Total Cost
Electronics,USB isolator,ADUM4160 100MA USB ISOLATOR BRD,1, $34.95 ,34.95
Electronics,Arduino Due,Arduino Due,2, $37.40 ,74.8
Electronics,Level Shifter,BSS138,3, $3.49 ,10.47
Electronics,Encoder Buffer,Single LS7366R Quadrature Encoder Buffer,2, $28.65 ,57.3
Electronics,Encoder,AMT102-V,2, $23.86 ,47.72
Electronics,WEC Motor Controller,"ESCON Module 24/2, 4-Q servo controller for DC/EC motors, 2/6 A, 10-24 VDC",1, $89.39 ,89.39
Electronics,WEC Motor Controller MotherBoard,ESCON Module 24/2 Motherboard,1, $87.00 ,87
Electronics,WEC Motor,"Maxon EC-max 16, 283828",1, $190.45 ,190.45
Electronics,Wavemaker Motor Controller,StepperOnline DM542T,1, $19.90 ,19.9
Electronics,Wavemaker Motor,StepperOnline 23HS45-4204S,1, $33.92 ,33.92
Electronics,Power Supply,MDS-400ADB24AA,1, $164.19 ,164.19
Electronics,Inferred Limit,485-2168,1, $5.95 ,5.95
Electronics,Wave Probe,OSSI-010-002E Wave Staff,2," $1,075.00 ",2150
Electronics,Project Enclosure,"BOX ABS/PC GRY 19.68""L X 15.74""W",1, $122.65 ,122.65
Electronics,Signal Generator,AD9833 Function Generator ,1, $8.95 ,8.95
Electronics,Transistor,MOSFET N-CH 30V 120A TO220,5, $1.12 ,5.6
Decorations,Lighthouse,https://factorydirecthobbies.com/products/preorder-walthers-cornerstone-933-3656-eagle-point-lighthouse-kit-8-1-8-x-3-x-8-7-8-20-3-x-7-5-x-22-8cm-ho?variant=39291075657791&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-09-16&utm_source=google&utm_medium=smart_campaign&gclid=EAIaIQobChMI2_Lt9Yne8QIVvGxvBB27rQC5EAQYAiABEgK43fD_BwE,2, $50.38 ,100.76
Decorations,General Store Set ,https://www.modeltrainstuff.com/motrak-models-ho-83006-applewood-general-store-with-freight-depot-kit/,2, $119.99 ,239.98
Decorations,House (1 story) ,https://www.modeltrainstuff.com/Bachmann-HO-45432-Contemporary-House-Snap-Kit/,2, $21.99 ,43.98
Decorations,Fishing Shack,https://barmillsmodels.com/product/fishing-shack-ho/,2, $22.95 ,45.9
Decorations,Shed,https://www.mapleleaftrains.com/catalog/76231-garden-shed/,2, $20.48 ,40.96
