timeStamp,UIWaveMakerMode,UIWaveMakerPos,UIWaveMakerHeight,UIWaveMakerFrequency,UIWaveMakerSigH,UIWaveMakerPeakF,UIWaveMakergamma,UIWecMode,UIWecTorque,UIWeckP,UIWeckD,UIWecSigH,UIWecPeakF,UIWecgamma,probe1,probe2,waveMakerPos,waveMakerDebugData,wecPos,wecTau,wecPower,wecVel
21589,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0022178572,0.17222142,-2.8124998E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
21716,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3750004E-4,0.14165357,-2.8124998E-5,0.0,0.0,3.4983215E-5,-0.0,0.0
21777,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0024589286,0.13046786,-2.8124998E-5,0.0,0.0,2.6587477E-5,0.0,0.0
21823,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0015428571,0.12796073,-2.8124998E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
21853,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020732142,0.12603214,-2.8124998E-5,0.0,0.0,2.37883E-5,-0.0,0.0
21884,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030857143,0.12338036,-2.8124998E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
21917,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029892859,0.12342858,-2.8124998E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
21948,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.12410358,-2.8124998E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
21980,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.4107145E-4,0.124585725,-2.8124998E-5,0.0,0.0,3.2184485E-5,-0.0,0.0
22012,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.9285716E-4,0.12487501,-2.8124998E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
22044,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.9285716E-4,0.12439287,-2.8124998E-5,0.0,0.0,1.819129E-5,-0.0,0.0
22077,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3750004E-4,0.123958945,-2.8124998E-5,0.0,0.0,1.5393009E-5,-0.0,0.0
22108,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.4107145E-4,0.12338036,-2.8124998E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
22140,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.232143E-4,0.12328394,-2.8124998E-5,0.0,0.0,4.8976413E-5,-0.0,0.0
22173,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.714286E-4,0.12448929,-2.8124998E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
22204,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.12405536,-2.8124998E-5,0.0,0.0,-1.3993645E-6,-0.0,0.0
22236,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3750004E-4,0.12135537,-2.8124998E-5,0.0,0.0,6.9968223E-6,0.0,0.0
22268,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011571429,0.12092143,-2.8124998E-5,0.0,0.0,3.2184485E-5,-0.0,0.0
22300,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011571429,0.11894466,-2.8124998E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
22333,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010125,0.11952321,-2.8124998E-5,0.0,0.0,2.0990019E-5,-0.0,0.0
22364,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011571429,0.119667865,-2.8124998E-5,0.0,0.0,-2.3788747E-5,-0.0,0.0
22396,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012535715,0.1218375,-2.8124998E-5,0.0,0.0,2.9385757E-5,0.0,0.0
22428,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014464286,0.12371786,-2.8124998E-5,0.0,0.0,4.33794E-5,-0.0,0.0
22460,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013017857,0.12458571,-2.8124998E-5,0.0,0.0,4.0580224E-5,-0.0,0.0
22492,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011089286,0.12366964,-2.8124998E-5,0.0,0.0,-1.3993645E-6,-0.0,0.0
22525,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-5.7857146E-4,0.12492321,-2.8124998E-5,0.0,0.0,1.5393009E-5,0.0,0.0
22556,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-6.75E-4,0.12714107,-2.8124998E-5,0.0,0.0,1.819129E-5,-0.0,0.0
